imdb_id,freebase_ID
tt0498329,/m/05c02tm
tt1741542,/m/0h_37h3
tt1675434,/m/0hgqwpj
tt0073817,/m/06qdr4
tt1250777,/m/05f4_n0
tt0050083,/m/0m_tj
tt0031381,/m/083skw
tt0046031,/m/05mw6vh
tt0062218,/m/03ynpv0
tt0996979,/m/058f37c
tt2006040,/m/0gwz7hn
tt0368008,/m/03shpq
tt4168940,/m/0jzsdw1
tt0370255,/m/0j_3k6_
tt0232883,/m/0b6f7b9
tt0056937,/m/0cwy47
tt0493464,/m/0287477
tt0412637,/m/03c0ng6
tt1046183,/m/0crsq85
tt0325805,/m/0bys_y
tt0067568,/m/015sm3
tt0086981,/m/0bqhk6
tt1313139,/m/0bc22_j
tt0071677,/m/027nyd7
tt1074638,/m/02vxq9m
tt1341167,/m/06znwky
tt0434409,/m/0645k5
tt2488496,/m/084h41
tt1266097,/m/04gp6h2
tt0089222,/m/06_npp
tt0117709,/m/027v5ym
tt0115433,/m/018gq3
tt1430837,/m/0270jf_
tt0938283,/m/05qbbfb
tt0074486,/m/027jhb
tt0083866,/m/0jqn5
tt1027862,/m/02x0j27
tt0056801,/m/01v74p
tt0113243,/m/01n4z6
tt0319262,/m/024l2y
tt0160620,/m/09vq9b
tt0066765,/m/02sxmw
tt0252277,/m/0d66k4
tt1018785,/m/02qrr8j
tt0124901,/m/04mk52
tt1462758,/m/07kbd5d
tt1286124,/m/04mxz8f
tt0076759,/m/0dtfn
tt0058926,/m/0b5ts6
tt0042692,/m/09rwr0
tt0044000,/m/09rz7p
tt0046521,/m/09sgmx
tt0045504,/m/0b0gjq
tt0047528,/m/074x3d
tt0047876,/m/0b1n05
tt0050783,/m/05r237
tt0053779,/m/02psgq
tt0055805,/m/03xfgb
tt0059229,/m/04brw1
tt0063715,/m/0f4yl5
tt0064940,/m/0b1szl
tt0206601,/m/0gx_mlk
tt0066922,/m/08xfy_
tt0069191,/m/05r226
tt0071129,/m/01jp6s
tt0074291,/m/0b1t5z
tt0079759,/m/0b1btk
tt0080539,/m/025swfh
tt0087188,/m/0b1n1y
tt0091113,/m/09k9s6
tt0093267,/m/0b1n5t
tt0098606,/m/0b1n8y
tt0031583,/m/04gnlg3
tt1104001,/m/05zy2cy
tt0188453,/m/032z3r
tt0283111,/m/048hvr
tt0054047,/m/07rtf
tt0113189,/m/01npcx
tt0078056,/m/0f9l5n
tt0086483,/m/0cgtkp5
tt0087814,/m/05zqqrf
tt0095869,/m/027f4ys
tt0102164,/m/02q_4s7
tt0110570,/m/08p939
tt0118799,/m/011yrp
tt0255477,/m/02754c9
tt0419198,/m/0fnhgb
tt0298228,/m/017zss
tt0142688,/m/025_5c
tt0099348,/m/0y_9q
tt0055630,/m/01tch8
tt0286106,/m/0jjy0
tt0045693,/m/021zrr
tt0120669,/m/0f8j13
tt1343703,/m/0chknb7
tt0041098,/m/09cx7j
tt0042179,/m/026vdlw
tt0120685,/m/04fzfj
tt0101309,/m/0gks6hv
tt1361843,/m/07kdtt1
tt1772250,/m/0nfwcsx
tt0105764,/m/03mzg2
tt0220309,/m/076xbg9
tt1533749,/m/09rwym3
tt0024480,/m/09sb7qb
