,title,imdb_id
0,Ghosts of Mars,tt0228333
1,White of the Eye,tt0094320
2,Alexander's Ragtime Band,tt0029852
3,The City of the Dead,tt0053719
4,Little City,tt0119548
5,Henry V,tt0097499
6,Mary Poppins,tt0058331
7,New Rose Hotel,tt0133122
8,White on Rice,tt0892904
9,Baby Boy,tt0255819
10,They Knew What They Wanted,tt0033150
11,Siam Sunset,tt0178022
12,Archie To Riverdale and Back Again,tt0099054
13,National Lampoon Presents Electric Apricot: Quest for Festeroo,tt0482499
14,Daddy and Them,tt0166158
15,The Gods Must Be Crazy,tt0080801
16,Rudo & Cursi,tt0405393
17,Kinjite: Forbidden Subjects,tt0097670
18,Innocence,tt0128332
19,Hamsun,tt0116480
20,Loverboy,tt0097790
21,The Fiances,tt0055981
22,Juarez,tt0031516
23,Mesmerized,tt0091513
24,Chasing Ghosts: Beyond the Arcade,tt0479879
25,Vipers,tt1152403
26,The Human Tornado,tt0074653
27,Shivers,tt0073705
28,The Little Hut,tt0050646
29,Vixen!,tt0063787
30,Twelve Plus One,tt0065361
31,Closing the Ring,tt0488380
32,The Boston Strangler,tt0062755
33,Deadly Voyage,tt0116056
34,The Hero: Love Story of a Spy,tt0347167
35,33 Scenes from Life,tt1263736
36,The High Cost of Living,tt1479388
37,One Six Right,tt0475994
38,Dig That Uranium,tt0049143
39,ChromeSkull: Laid to Rest 2,tt1792799
40,Desperate,tt0039313
41,...And Justice for All,tt0078718
42,Children of Glory,tt0486219
43,Star!,tt0063642
44,The Great Santini,tt0079239
45,Beachhead,tt0046757
46,A Zed & Two Noughts,tt0090366
47,Things to Do in Denver When You're Dead,tt0114660
48,Convoy,tt0077369
49,14 Going on 30,tt0094592
50,The Net,tt0434231
51,C.H.U.D.,tt0087015
52,Good Morning Miss Dove,tt0048130
53,"Black Cat, White Cat",tt0118843
54,La Marseillaise,tt0030424
55,The Astronaut Farmer,tt0469263
56,Straw Dogs,tt0067800
57,The Battle of Algiers,tt0058946
58,The Lone Wolf Meets a Lady,tt0032725
59,Critters 3,tt0101627
60,City Beneath the Sea,tt0065556
61,The Bone Snatcher,tt0343449
62,No Impact Man,tt1280011
63,Rollo and the Spirit of the Woods,tt0249131
64,"Spring, Summer, Fall, Winter... and Spring",tt0374546
65,Blockade,tt0029924
66,Grease,tt0077631
67,Vanishing on 7th Street,tt1452628
68,One Hundred and One Nights,tt0112654
69,The Clowns,tt0066922
70,House by the River,tt0042579
71,Pedro Páramo,tt0062108
72,Le Grand Jeu,tt0025198
73,Annie Laurie,tt0017632
74,What Have I Done to Deserve This?,tt0088461
75,Yolanda and the Thief,tt0038262
76,The Iron Rose,tt0126004
77,Becoming Jane,tt0416508
78,Heidi Fleiss: Hollywood Madam,tt0113283
79,True Heart,tt0120381
80,The Dark Half,tt0106664
81,Midnight Express,tt0077928
82,Fly Away,tt1697920
83,RoboCop 3,tt0107978
84,Gertie the Dinosaur,tt0004008
85,The Forbidden Kingdom,tt0865556
86,Eagle's Wing,tt0079094
87,Superman,tt0078346
88,Hababam Sınıfı Tatilde,tt0252489
89,Bleeder,tt0161292
90,Lord of the Flies,tt0057261
91,Without Warning,tt0081764
92,On the Beach,tt0219224
93,Trial and Error,tt0120373
94,Taxi,tt0152930
95,When Will I Be Loved,tt0396271
96,Necessary Roughness,tt0102517
97,The Corsican File,tt0380349
98,Song of the Islands,tt0035361
99,A Friend Is a Treasure,tt0085327
100,Sweeney Todd: The Demon Barber of Fleet Street,tt0408236
101,Chaplin,tt0103939
102,Nothing to Lose,tt0119807
103,Beyond the Time Barrier,tt0053651
